BASE DE COCA,BASUCO,COCAINA,HEROINA,MARIHUANA
,,,1.0,
,,,,2.0
,2.0,,,10.0
,,,3.0,
,3.0,,,
2.0,,,,
,,,,7.0
5.0,,,,
2.0,,,,
13.0,,,,
,,1.0,,
,,,,1.0
,,1.0,,
,,4.0,,
,1.0,,,
1.0,3.0,,1.0,
,,,,6.0
2.0,,,,
,,16.0,,
,,,1.0,
,,16.0,,
29.0,,,,
,,,,2.0
,,,,3.0
,2.0,,,
,,,,7.0
,3.0,,,
1.0,,,,
3.0,,,,
4.0,,,,
,1.0,,,
,,,,1.0
,1.0,,,
,,,,6.0
,,,1.0,
,,1.0,,
,835.0,,,
,,2.0,,
60.0,,,,
2.0,,,,
3.0,,,,15.0
105.0,185.0,89.0,,
1.0,,,,
,,,11.0,
,,,,3.0
,,1.0,,
,,3.0,,
,,10.0,,
,,,3.0,
,,1.0,1.0,
,,,,1.0
,,1.0,,
,,1.0,,
1.0,,,,
,,,1.0,
,,,,8.0
,,,2.0,
,,,,4.0
,,,,50.0
,,,,8.0
,,15.0,,
1.0,1.0,,,
1.0,,,,
,,,,1.0
,3.0,,,
4.0,,2.0,,
,,1.0,,
,,,,1.0
,,1.0,,
1.0,,,,
,,1.0,,
2.0,,,,6.0
,2.0,,,
,,,,7.0
41.0,,,,
,2.0,5.0,,
,,,,35.0
,4.0,,,
,1.0,,,
,,,9.0,
,1.0,,,
,11.0,,,
,92.0,,,
,1.0,,,
,,,,1.0
,,,1.0,
,,6.0,,
2.0,,,,
,,3.0,,
,,,,4.0
,,,,42.0
,1.0,,,
,,2.0,,
,,2.0,,
1.0,,,,
2.0,,3.0,,
,,1.0,,
,,,1.0,
,,,,2.0
,,1.0,,
,2.0,3.0,,
,,2.0,,
2.0,,,,
,1.0,,,
,22.0,,,32.0
,3.0,,,
1.0,,,,
,,,,7.0
,37.0,,,
,1.0,1.0,,
,1.0,,,
,,,1.0,
,,,,6.0
22.0,16.0,,,
9.0,,,,
,1.0,,,
,,,,15.0
,,1.0,,
,,,2.0,
,81.0,,,
,,,,28.0
,6.0,,,
,,,,34.0
,,,2.0,
31.0,,,,
1.0,,3.0,,
5.0,,,,
